raw_xpath,suggested_xpath,correct
/ownershipDocument/derivativeTable/deriv/expirationDate/value,/ownershipDocument/derivativeTable/derivativeHolding/expirationDate/value,TRUE
/ownershipDocument/derivativeTable/deriv/securityTitle/value,/ownershipDocument/derivativeTable/derivativeHolding/securityTitle/value,TRUE
/ownershipDocument/derivativeTable/derivativeHolding/expirationDate/val,/ownershipDocument/derivativeTable/derivativeHolding/expirationDate/value,TRUE
/ownershipDocument/nonDerivativeSecurity/tra/transactionShares/value,/ownershipDocument/nonDerivativeSecurity/transactionAmounts/transactionShares/value,TRUE
/ownershipDocument/ownerSignature/s,/ownershipDocument/ownerSignature/signatureDate,FALSE
/ownershipDocument/derivativeTable/derivativeHolding/derivativeHolding/conversionOrExercisePrice/footnoteId/@id,/ownershipDocument/derivativeTable/derivativeHolding/conversionOrExercisePrice/footnoteId/@id,TRUE
/ownershipDocument/derivativeTable/derivativeHolding/derivativeHolding/exerciseDate/footnoteId/@id,/ownershipDocument/derivativeTable/derivativeHolding/exerciseDate/footnoteId/@id,TRUE
/ownershipDocument/derivativeTable/derivativeHolding/derivativeHolding/expirationDate/footnoteId/@id,/ownershipDocument/derivativeTable/derivativeHolding/expirationDate/footnoteId/@id,TRUE
/ownershipDocument/derivativeTable/derivativeHolding/derivativeHolding/ownershipNature/directOrIndirectOwnership/value,/ownershipDocument/derivativeTable/derivativeHolding/ownershipNature/directOrIndirectOwnership/value,TRUE
/ownershipDocument/derivativeTable/derivativeHolding/derivativeHolding/underlyingSecurity/underlyingSecurityShares/value,/ownershipDocument/derivativeTable/derivativeHolding/underlyingSecurity/underlyingSecurityShares/value,TRUE
/ownershipDocument/derivativeTable/derivativeHolding/derivativeHolding/underlyingSecurity/underlyingSecurityTitle/value,/ownershipDocument/derivativeTable/derivativeHolding/underlyingSecurity/underlyingSecurityTitle/value,TRUE
/ownershipDocument/derivativeSecurity/derivativeSecurity/ownershipNature/directOrIndirectOwnership/value,/ownershipDocument/derivativeSecurity/ownershipNature/directOrIndirectOwnership/value,TRUE
/ownershipDocument/derivativeSecurity/derivativeSecurity/underlyingSecurity/underlyingSecurityShares/value,/ownershipDocument/derivativeSecurity/underlyingSecurity/underlyingSecurityShares/value,TRUE
/ownershipDocument/derivativeSecurity/derivativeSecurity/underlyingSecurity/underlyingSecurityTitle/value,/ownershipDocument/derivativeSecurity/underlyingSecurity/underlyingSecurityTitle/value,TRUE
/ownershipDocument/derivativeTable/derivativeHolding/derivativeHolding/securityTitle/value,/ownershipDocument/derivativeTable/derivativeHolding/securityTitle/value,TRUE
/ownershipDocument/derivativeSecurity/derivativeSecurity/conversionOrExercisePrice/value,/ownershipDocument/derivativeSecurity/conversionOrExercisePrice/value,TRUE
/ownershipDocument/derivativeSecurity/derivativeSecurity/exerciseDate/value,/ownershipDocument/derivativeSecurity/exerciseDate/value,TRUE
/ownershipDocument/derivativeSecurity/derivativeSecurity/expirationDate/value,/ownershipDocument/derivativeSecurity/expirationDate/value,TRUE
/ownershipDocument/derivativeSecurity/derivativeSecurity/securityTitle/value,/ownershipDocument/derivativeSecurity/securityTitle/value,TRUE
/ownershipDocument/derivativeTable/derivativeHolding/underlyingSecurity/ownershipNature/directOrIndirectOwnership/value,/ownershipDocument/derivativeTable/derivativeHolding/ownershipNature/directOrIndirectOwnership/value,TRUE
/ownershipDocument/nonDerivativeTable/nonDerivativeHolding/postTransactionAmounts/ownershipNature/directOrIndirectOwnership/value,/ownershipDocument/nonDerivativeTable/nonDerivativeHolding/ownershipNature/directOrIndirectOwnership/value,TRUE
/ownershipDocument/nonDerivativeTable/nonDerivativeHolding/postTransactionAmounts/ownershipNature/natureOfOwnership/value,/ownershipDocument/nonDerivativeTable/nonDerivativeHolding/ownershipNature/natureOfOwnership/value,TRUE
/ownershipDocument/derivativeTable/deriv/ownershipNature/natureOfOwnership/footnoteId/@id,/ownershipDocument/derivativeTable/derivativeHolding/ownershipNature/natureOfOwnership/footnoteId/@id,TRUE
/ownershipDocument/nonDerivativeTable/nonDerivativeHolding/ownershipNature/natureOfOwnershi/footnoteId/@id,/ownershipDocument/nonDerivativeTable/nonDerivativeHolding/ownershipNature/natureOfOwnership/footnoteId/@id,TRUE
/ownershipDocument/derivativeHolding/securityTitle/footnoteId/@id,/ownershipDocument/derivativeTable/derivativeHolding/securityTitle/footnoteId/@id,TRUE
/ownershipDocument/derivativeTable/deriva/ownershipNature/directOrIndirectOwnership/value,/ownershipDocument/derivativeTable/ownershipNature/directOrIndirectOwnership/value,FALSE
/ownershipDocument/nonDerivativeHolding/ownershipNature/directOrIndirectOwnership/value,/ownershipDocument/nonDerivativeTable/nonDerivativeHolding/ownershipNature/directOrIndirectOwnership/value,TRUE
/ownershipDocument/nonDerivativeHolding/postTransactionAmounts/sharesOwnedFollowingTransaction/value,/ownershipDocument/nonDerivativeTable/nonDerivativeHolding/postTransactionAmounts/sharesOwnedFollowingTransaction/value,TRUE
/ownershipDocument/nonDerivativeTable/non/ownershipNature/directOrIndirectOwnership/value,/ownershipDocument/nonDerivativeTable/ownershipNature/directOrIndirectOwnership/value,FALSE
/ownershipDocument/nonDerivativeTable/non/postTransactionAmounts/sharesOwnedFollowingTransaction/value,/ownershipDocument/nonDerivativeTable/postTransactionAmounts/sharesOwnedFollowingTransaction/value,FALSE
/ownershipDocument/nonDerivativeTable/nonDer/ownershipNature/directOrIndirectOwnership/value,/ownershipDocument/nonDerivativeTable/ownershipNature/directOrIndirectOwnership/value,FALSE
/ownershipDocument/nonDerivativeTable/nonDer/postTransactionAmounts/sharesOwnedFollowingTransaction/value,/ownershipDocument/nonDerivativeTable/postTransactionAmounts/sharesOwnedFollowingTransaction/value,FALSE
/ownershipDocument/nonDerivativeTable/nonDerivativeHold/ownershipNature/directOrIndirectOwnership/value,/ownershipDocument/nonDerivativeTable/ownershipNature/directOrIndirectOwnership/value,FALSE
/ownershipDocument/nonDerivativeTable/nonDerivativeHold/postTransactionAmounts/sharesOwnedFollowingTransaction/value,/ownershipDocument/nonDerivativeTable/postTransactionAmounts/sharesOwnedFollowingTransaction/value,FALSE
/ownershipDocument/d/derivativeHolding/exerciseDate/footnoteId/@id,/ownershipDocument/derivativeTable/derivativeHolding/exerciseDate/footnoteId/@id,FALSE
/ownershipDocument/d/derivativeHolding/ownershipNature/directOrIndirectOwnership/value,/ownershipDocument/derivativeTable/derivativeHolding/ownershipNature/directOrIndirectOwnership/value,TRUE
/ownershipDocument/d/derivativeHolding/securityTitle/footnoteId/@id,/ownershipDocument/derivativeTable/derivativeHolding/securityTitle/footnoteId/@id,TRUE
